Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 04/13  09:00:00,0.89046034373,5.91528635573,0.0,4.70182809951,0.0,0.129456772047,0.129456772047,0.129456772047,0.0815804176106,0.0177742926139,0.336182059337,0.308354802121,1.19221948242
 04/13  10:00:00,0.896507708382,5.90247243021,0.0,4.82653027374,0.0,0.132890232523,0.132890232523,0.132890232523,0.0652643324166,0.0142194351839,0.351414911732,0.315606796526,1.05420388188
 04/13  11:00:00,0.895015379087,5.16928966871,0.0,4.21748569367,0.0,0.116121234656,0.116121234656,0.116121234656,0.0652643324166,0.0142194351839,0.366594887045,0.315703489785,0.930059040436
 04/13  12:00:00,0.863539838721,4.47464198377,0.0,3.61952368897,0.0,0.099657376494,0.099657376494,0.099657376494,0.0652643324166,0.0142194351839,0.356901334072,0.310385360555,0.833739660775
 04/13  13:00:00,0.835147079182,4.17384293749,0.0,3.37534765429,0.0,0.0929344081946,0.0929344081946,0.0929344081946,0.0652643324166,0.0142194351839,0.324498591112,0.321118312275,0.776377388009
 04/13  14:00:00,0.8280847673,4.1157691074,0.0,3.37261727868,0.0,0.0928592319853,0.0928592319853,0.0928592319853,0.0652643324166,0.0142194351839,0.299429816056,0.339199951659,0.71978851154
 04/13  15:00:00,0.855467172487,4.12580227803,0.0,3.37399959733,0.0,0.0928972917585,0.0928972917585,0.0928972917585,0.0652643324166,0.0142194351839,0.307918976015,0.358055137113,0.727140661453
 04/13  16:00:00,0.964085085391,3.90505860793,0.0,3.08010318012,0.0,0.0848053580079,0.0848053580079,0.0848053580079,0.0693433537151,0.0151081499967,0.354199750391,0.42351647328,0.795784581381
 04/13  17:00:00,1.17361197522,4.22868013465,0.0,3.25149014757,0.0,0.0895242041901,0.0895242041901,0.0895242041901,0.0938174982246,0.0204404425163,0.438213000532,0.514504829754,0.941752070684
 04/13  18:00:00,1.2963684798,4.20638891344,0.0,3.09188167107,0.0,0.0851296585534,0.0851296585534,0.0851296585534,0.171318844381,0.037326011211,0.396885009915,0.558596955739,1.07603236114
 04/13  19:00:00,1.39922302653,3.72316449312,0.0,2.58644192746,0.0,0.0712132421539,0.0712132421539,0.0712132421539,0.338558692541,0.073763313073,0.321993876894,0.576581901865,1.09700892246
 04/13  20:00:00,1.64339602442,3.54641082015,0.0,2.48734343517,0.0,0.0684847351445,0.0684847351445,0.0684847351445,0.554746829721,0.120865199974,0.285783239672,0.596404019907,1.01798843961
 04/13  21:00:00,1.66650811449,3.39789103049,0.0,2.43676740443,0.0,0.067092210887,0.067092210887,0.067092210887,0.599616038926,0.130641057451,0.269566616575,0.582480190648,0.92100372221
 04/13  22:00:00,1.35819598407,3.44074523443,0.0,2.64137713922,0.0,0.0727257889837,0.0727257889837,0.0727257889837,0.448692342834,0.097758611198,0.217845283247,0.50406195781,0.764649459954
 04/13  23:00:00,1.0600903704,3.52024455001,0.0,2.89479627723,0.0,0.0797032502789,0.0797032502789,0.0797032502789,0.310005551811,0.0675423112045,0.147706795011,0.438020462091,0.595278424772
 04/13  24:00:00,0.75917040877,3.62928791112,0.0,3.18822985854,0.0,0.087782440637,0.087782440637,0.087782440637,0.159081772126,0.0346598649513,0.0982246905575,0.362309640498,0.416102992871
 04/14  01:00:00,0.655979933956,4.0703370592,0.0,3.71316998528,0.0,0.102235766639,0.102235766639,0.102235766639,0.0978964944452,0.0213291518652,0.083814778355,0.333591742652,0.334190037351
 04/14  02:00:00,0.609836606239,4.40062277188,0.0,4.06669269582,0.0,0.111969408104,0.111969408104,0.111969408104,0.0652643324166,0.0142194351839,0.0715474182325,0.329724012302,0.311219439919
 04/14  03:00:00,0.599705937833,4.47842761273,0.0,4.13867791311,0.0,0.113951397591,0.113951397591,0.113951397591,0.0652643324166,0.0142194351839,0.0640760367584,0.325082735883,0.317358743984
 04/14  04:00:00,0.595448333856,4.47686005482,0.0,4.07327618915,0.0,0.112150673301,0.112150673301,0.112150673301,0.0652643324166,0.0142194351839,0.0738992009315,0.312802692023,0.382038731387
 04/14  05:00:00,0.646697411007,4.68015277465,0.0,3.99055460987,0.0,0.109873076501,0.109873076501,0.109873076501,0.0693433537151,0.0151081499967,0.0861981667443,0.34906266405,0.665555526522
 04/14  06:00:00,0.80735050725,5.20135331239,0.0,3.9779500801,0.0,0.109526032393,0.109526032393,0.109526032393,0.114212562921,0.024884007474,0.138308322259,0.403307582203,1.19562432808
 04/14  07:00:00,1.03163201265,4.95788060793,0.0,3.5850808623,0.0,0.0987090523386,0.0987090523386,0.0987090523386,0.212109057366,0.0462131593392,0.213944220876,0.428544522734,1.34328257865
 04/14  08:00:00,0.957886540602,4.77614405282,0.0,3.44476660857,0.0,0.0948457400321,0.0948457400321,0.0948457400321,0.171318844381,0.037326011211,0.27497430448,0.362309640498,1.30642238453
 04/14  09:00:00,0.849488409552,4.42601968955,0.0,3.21374069889,0.0,0.0884848378695,0.0884848378695,0.0884848378695,0.0815804176106,0.0177742926139,0.336182059337,0.308354802121,1.19104021685
 04/14  10:00:00,0.851504398754,4.26704072616,0.0,3.19202462036,0.0,0.087886922895,0.087886922895,0.087886922895,0.0652643324166,0.0142194351839,0.351414911732,0.315606796526,1.0532778312
 04/14  11:00:00,0.852285460178,3.61687279633,0.0,2.66554885606,0.0,0.0733913157469,0.0733913157469,0.0733913157469,0.0652643324166,0.0142194351839,0.366594887045,0.315703489785,0.92957900567
 04/14  12:00:00,0.820050029792,2.89463959764,0.0,2.03998789154,0.0,0.0561675675642,0.0561675675642,0.0561675675642,0.0652643324166,0.0142194351839,0.356901334072,0.310385360555,0.833273072072
 04/14  13:00:00,0.788278270352,2.47139161693,0.0,1.6730876731,0.0,0.0460655993642,0.0460655993642,0.0460655993642,0.0652643324166,0.0142194351839,0.324498591112,0.321118312275,0.776186048629
