Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 02/08  12:00:00,0.934819852063,5.61018315819,0.0,4.77783636892,0.127928825981,0.127928825981,0.127928825981,0.0778515511019,0.0161299608809,0.361031883506,0.336529630593,0.80916534695
 02/08  13:00:00,0.909764382662,5.14654469101,0.0,4.40031210376,0.117820435427,0.117820435427,0.117820435427,0.0778515511019,0.0161299608809,0.351753757089,0.330860678163,0.72344164395
 02/08  14:00:00,0.877797861461,4.74485057521,0.0,4.04889693725,0.108411128324,0.108411128324,0.108411128324,0.0778515511019,0.0161299608809,0.31775556627,0.342301654885,0.67237459663
 02/08  15:00:00,0.867107672232,4.29839918767,0.0,3.65173917307,0.0977770415578,0.0977770415578,0.0977770415578,0.0827172644472,0.0171380816544,0.292551191427,0.361576093145,0.621753276565
 02/08  16:00:00,0.91457991816,4.28870792753,0.0,3.63423956651,0.0973084813247,0.0973084813247,0.0973084813247,0.0973144732719,0.0201624582272,0.302771399031,0.381675106305,0.628177126438
 02/08  17:00:00,1.10267850861,4.46106497143,0.0,3.74085119443,0.100163058029,0.100163058029,0.100163058029,0.150837388859,0.0312518152405,0.353623489359,0.45145475712,0.689115854369
 02/08  18:00:00,1.4757459551,5.13561249896,0.0,4.27848951627,0.114558578094,0.114558578094,0.114558578094,0.291943351027,0.0604873746817,0.444963271704,0.548445379597,0.819343976685
 02/08  19:00:00,1.73277350382,4.29676732486,0.0,3.3164468498,0.0887994311994,0.0887994311994,0.0887994311994,0.501169368817,0.103836653457,0.398173901519,0.595446148832,0.93930387711
 02/08  20:00:00,1.79956212986,3.95200394607,0.0,2.95082897767,0.0790098399434,0.0790098399434,0.0790098399434,0.642275330985,0.133072212898,0.315239230802,0.61461751523,0.958837773746
 02/08  21:00:00,1.72667027496,3.81915860326,0.0,2.88774268722,0.0773206747128,0.0773206747128,0.0773206747128,0.598483842089,0.123999111684,0.275771399459,0.635747247013,0.887623224994
 02/08  22:00:00,1.57164673633,3.75749251717,0.0,2.9138979718,0.0780209948141,0.0780209948141,0.0780209948141,0.496303655472,0.102828532683,0.258240654531,0.620904898834,0.800824251784
 02/08  23:00:00,1.28969765426,3.8675469591,0.0,3.16857886334,0.0848401960043,0.0848401960043,0.0848401960043,0.369794902129,0.0766173355626,0.205783602099,0.537313618463,0.661955887848
 02/08  24:00:00,1.02125161812,3.9741093493,0.0,3.43017199363,0.091844475653,0.091844475653,0.091844475653,0.257883288821,0.0534305150148,0.135829802162,0.466915536473,0.511774435686
 02/09  01:00:00,0.745465044211,4.07791351958,0.0,3.69859364108,0.0990315920744,0.0990315920744,0.0990315920744,0.131374466689,0.0272193178942,0.0862813993051,0.386210268249,0.352716244686
 02/09  02:00:00,0.641774358761,4.21487613274,0.0,3.91007511763,0.10469410852,0.10469410852,0.10469410852,0.0778515511019,0.0161299608809,0.07215281313,0.355597925129,0.280306076057
 02/09  03:00:00,0.599508359314,4.33477157249,0.0,4.05004307774,0.108441816777,0.108441816777,0.108441816777,0.0535229499812,0.0110893513124,0.0596311906089,0.351475050635,0.26051755499
 02/09  04:00:00,0.590117421369,4.43939012184,0.0,4.14932213299,0.111100060384,0.111100060384,0.111100060384,0.0535229499812,0.0110893513124,0.0525294584498,0.346527601241,0.266197848244
