Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 05/31  17:00:00,1.39188526206,0.0348328319902,0.0,0.0,0.0,0.0,0.0,0.0,0.0674941768408,0.014540039301,0.438965378865,0.505708689028,0.348532978028
 05/31  18:00:00,1.54948347173,0.0378179421927,0.0,0.0,0.0,0.0,0.0,0.0,0.118114821421,0.0254450653444,0.397476839177,0.549047001788,0.412755744001
 05/31  19:00:00,1.6169554505,0.0390355529332,0.0,0.0,0.0,0.0,0.0,0.0,0.236229642842,0.0508901306888,0.322310374418,0.566724471466,0.424156831083
 05/31  20:00:00,1.77940234918,0.0403775432655,0.0,0.0,0.0,0.0,0.0,0.0,0.415089225013,0.0894212458202,0.2859788881,0.586207704176,0.386061286074
 05/31  21:00:00,1.8593009494,0.0394348768858,0.0,0.0,0.0,0.0,0.0,0.0,0.543328146671,0.117047310881,0.269710329714,0.572521921199,0.340049240937
 05/31  22:00:00,1.51615795006,0.0341258322054,0.0,0.0,0.0,0.0,0.0,0.0,0.42521332525,0.091602245537,0.217943329922,0.495444351795,0.26931069756
 05/31  23:00:00,1.14906494279,0.029654713196,0.0,0.0,0.0,0.0,0.0,0.0,0.296974403592,0.0639761633138,0.147779360955,0.430531922814,0.193159092118
 05/31  24:00:00,0.76686932677,0.0245289647561,0.0,0.0,0.0,0.0,0.0,0.0,0.151861901875,0.0327150815625,0.0982793958339,0.356115477877,0.111253469621
 06/01  01:00:00,0.572372637157,0.0198201499944,0.0,0.0,0.0,0.0,0.0,0.0,0.0911816699856,0.0196429501656,0.0834923761498,0.287752143518,0.0736594973379
 06/01  02:00:00,0.509699960751,0.0195903511539,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0716845669617,0.284415886781,0.0643462636729
 06/01  03:00:00,0.501329254554,0.0193145925452,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0641951005342,0.280412378698,0.0674685319881
 06/01  04:00:00,0.529381293147,0.0185849812266,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0735359875481,0.269819763559,0.0967722987045
 06/01  05:00:00,0.706768117053,0.0207393453564,0.0,0.0,0.0,0.0,0.0,0.0,0.0628839163785,0.0135468669175,0.0853631352956,0.301097170464,0.227233027998
 06/01  06:00:00,1.07279945179,0.0239622740947,0.0,0.0,0.0,0.0,0.0,0.0,0.0848932926875,0.0182882669062,0.135604734988,0.347888171192,0.469480986017
 06/01  07:00:00,1.30762627459,0.025461711529,0.0,0.0,0.0,0.0,0.0,0.0,0.135200470403,0.0291257673051,0.208909382217,0.369657246397,0.533089408265
 06/01  08:00:00,1.23415742119,0.0215264063852,0.0,0.0,0.0,0.0,0.0,0.0,0.100614275765,0.0216749836356,0.269481251481,0.312523849786,0.513219060522
 06/01  09:00:00,1.13964083994,0.01832071256,0.0,0.0,0.0,0.0,0.0,0.0,0.0565955311138,0.0121921802258,0.330413434083,0.265983068313,0.457812626203
 06/01  10:00:00,1.09005838629,0.018751585386,0.0,0.0,0.0,0.0,0.0,0.0,0.0503071378827,0.010837493534,0.346380073072,0.272238549693,0.39365113211
 06/01  11:00:00,1.04440340133,0.018757330357,0.0,0.0,0.0,0.0,0.0,0.0,0.0471629412671,0.0101601501881,0.36061507566,0.272321956112,0.337499278103
 06/01  12:00:00,0.985336905098,0.0184413569513,0.0,0.0,0.0,0.0,0.0,0.0,0.0471629412671,0.0101601501881,0.350008238641,0.267734603099,0.293626971902
 06/01  13:00:00,0.938206858172,0.0190790487337,0.0,0.0,0.0,0.0,0.0,0.0,0.0471629412671,0.0101601501881,0.319023623067,0.276992715543,0.268223428107
 06/01  14:00:00,0.903166974282,0.0201533583131,0.0,0.0,0.0,0.0,0.0,0.0,0.0471629412671,0.0101601501881,0.294229243714,0.292589715786,0.242380923327
 06/01  15:00:00,0.95596552266,0.0212736276606,0.0,0.0,0.0176379567962,0.00494767514914,0.0225856319453,0.00494767514914,0.0503071378827,0.010837493534,0.301025880583,0.308853967376,0.245711411339
 06/01  16:00:00,1.18284802584,0.0251629730363,0.0,0.0,0.09386399649,0.0266180441745,0.120482040665,0.0266180441745,0.0503071378827,0.010837493534,0.34261694473,0.36532011264,0.276640296388
 06/01  17:00:00,1.56444770413,0.0305689907594,0.0,0.0,0.205010837342,0.0588503519108,0.263861189253,0.0588503519108,0.0628839163785,0.0135468669175,0.418947458642,0.443805552365,0.344758720577
 06/01  18:00:00,1.7226860843,0.0331886975413,0.0,0.0,0.217730646814,0.0632687411126,0.280999387926,0.0632687411126,0.100614275765,0.0216749836356,0.382083699719,0.48183887916,0.408830858095
 06/01  19:00:00,1.76154464028,0.0342572621497,0.0,0.0,0.212515740811,0.0631577122081,0.275673453019,0.0631577122081,0.194940174233,0.0419952840119,0.314732295471,0.497352472985,0.420206960558
 06/01  20:00:00,1.8375110149,0.0354349812073,0.0,0.0,0.16683688356,0.0512919495865,0.218128833147,0.0512919495865,0.34900577653,0.075185118257,0.281807004861,0.514450788759,0.382289493351
 06/01  21:00:00,1.90933694259,0.0346077053815,0.0,0.0,0.130579214725,0.0409708507697,0.171550065495,0.0409708507697,0.506215527643,0.109052285551,0.266994745381,0.502440264508,0.336440054012
 06/01  22:00:00,1.54591109797,0.0299485338901,0.0,0.0,0.0729060564116,0.0233149058206,0.0962209622322,0.0233149058206,0.424466463437,0.0914413516933,0.216471390852,0.434797659176,0.265869270579
 06/01  23:00:00,1.09064719594,0.0260247186883,0.0,0.0,0.0,0.0,0.0,0.0,0.295554449998,0.0636702676475,0.146949064735,0.377831075402,0.189998338159
 06/01  24:00:00,0.719179823194,0.0215264063852,0.0,0.0,0.0,0.0,0.0,0.0,0.150921453481,0.0325124840344,0.0979160521221,0.312523849786,0.108661983771
 06/02  01:00:00,0.570444330958,0.0198201499944,0.0,0.0,0.0,0.0,0.0,0.0,0.0911816699856,0.0196429501656,0.0834923761498,0.287752143518,0.0717311911388
 06/02  02:00:00,0.507821096741,0.0195903511539,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0716845669617,0.284415886781,0.0624673996631
 06/02  03:00:00,0.499320785314,0.0193145925452,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0641951005342,0.280412378698,0.0654600627472
 06/02  04:00:00,0.527617082625,0.0185849812266,0.0,0.0,0.0,0.0,0.0,0.0,0.0597397197629,0.0128695235716,0.0735359875481,0.269819763559,0.0950080881828
 06/02  05:00:00,0.703958083823,0.0207393453564,0.0,0.0,0.0,0.0,0.0,0.0,0.0628839163785,0.0135468669175,0.0853631352956,0.301097170464,0.224422994768
 06/02  06:00:00,1.06838601282,0.0239622740947,0.0,0.0,0.0,0.0,0.0,0.0,0.0848932926875,0.0182882669062,0.135604734988,0.347888171192,0.465067547048
 06/02  07:00:00,1.30306546401,0.025461711529,0.0,0.0,0.0,0.0,0.0,0.0,0.135200470403,0.0291257673051,0.208909382217,0.369657246397,0.528528597688
 06/02  08:00:00,1.22970701512,0.0215264063852,0.0,0.0,0.0,0.0,0.0,0.0,0.100614275765,0.0216749836356,0.269481251481,0.312523849786,0.508768654451
 06/02  09:00:00,1.13546871473,0.01832071256,0.0,0.0,0.0,0.0,0.0,0.0,0.0565955311138,0.0121921802258,0.330413434083,0.265983068313,0.453640500999
 06/02  10:00:00,1.08636582632,0.018751585386,0.0,0.0,0.0,0.0,0.0,0.0,0.0503071378827,0.010837493534,0.346380073072,0.272238549693,0.389958572136
 06/02  11:00:00,1.04108381276,0.018757330357,0.0,0.0,0.0,0.0,0.0,0.0,0.0471629412671,0.0101601501881,0.36061507566,0.272321956112,0.334179689529
 06/02  12:00:00,0.982288776957,0.0184413569513,0.0,0.0,0.0,0.0,0.0,0.0,0.0471629412671,0.0101601501881,0.350008238641,0.267734603099,0.290578843762
 06/02  13:00:00,1.01536397537,0.0190790487337,0.0,0.0,0.0624541597435,0.0172747872765,0.0797289470199,0.0172747872765,0.0471629412671,0.0101601501881,0.319023623067,0.276992715543,0.26565159829
 06/02  14:00:00,1.12491615392,0.0201533583131,0.0,0.0,0.175860109385,0.0479009145051,0.22376102389,0.0479009145051,0.0471629412671,0.0101601501881,0.294229243714,0.292589715786,0.240369079075
 06/02  15:00:00,1.28346074324,0.0212736276606,0.0,0.0,0.276435275996,0.0752178130007,0.351653088997,0.0752178130007,0.0503071378827,0.010837493534,0.301025880583,0.308853967376,0.24413917487
 06/02  16:00:00,1.52108573258,0.0251629730363,0.0,0.0,0.360764609733,0.0993742409548,0.460138850688,0.0993742409548,0.0503071378827,0.010837493534,0.34261694473,0.36532011264,0.275221193103
 06/02  17:00:00,1.9408087098,0.0305689907594,0.0,0.0,0.503355938644,0.138620085072,0.641976023716,0.138620085072,0.0628839163785,0.0135468669175,0.418947458642,0.443805552365,0.343004891786
 06/02  18:00:00,2.0541552087,0.0331886975413,0.0,0.0,0.480758061528,0.133779810192,0.61453787172,0.133779810192,0.100614275765,0.0216749836356,0.382083699719,0.48183887916,0.406761498695
 06/02  19:00:00,2.05150805821,0.0342572621497,0.0,0.0,0.441907370524,0.125839680046,0.56774705057,0.125839680046,0.194940174233,0.0419952840119,0.314732295471,0.497352472985,0.418096780943
 06/02  20:00:00,2.09878005727,0.0354349812073,0.0,0.0,0.372748133175,0.108571541346,0.481319674521,0.108571541346,0.34900577653,0.075185118257,0.281807004861,0.514450788759,0.380367694339
 06/02  21:00:00,2.14740809872,0.0346077053815,0.0,0.0,0.316969670136,0.0943404935985,0.411310163735,0.0943404935985,0.506215527643,0.109052285551,0.266994745381,0.502440264508,0.334751111907
 06/02  22:00:00,1.76307358772,0.0299485338901,0.0,0.0,0.24186260914,0.0728105787666,0.314673187907,0.0728105787666,0.424466463437,0.0914413516933,0.216471390852,0.434797659176,0.264579534656
 06/02  23:00:00,1.28676572245,0.0260247186883,0.0,0.0,0.150714166921,0.0462862815153,0.197000448437,0.0462862815153,0.295554449998,0.0636702676475,0.146949064735,0.377831075402,0.189116416233
